"1";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/bKuA82rZLj" 
"2";"<U+203C><U+FE0F> La jueza levanta el veto a la distribución del sello del Partido Comunista  La misma magistrada que hace días estimó las medidas cautelarísimas pedidas por Abogados Cristianos ahora estima los argumentos de Correos y permite la distribución del sello https://t.co/AYvb32l7wu" 
"3";"El sello conmemorativo de los 100 años del Partido Comunista de España se puede volver a vender. La jueza ha rechazado las “razones de orden político” alegadas por Abogados Cristianos https://t.co/uFD99XLco9" 
"4";"@7maestrella2 @manriquerobledo @vitoquiles @Correos @PSOE Prefiero del mil veces rojo comunista antes que un fascista fachopobre lameojetes como vosotros que vivís debajo del pie del amo <U+0001F923><U+0001F923><U+0001F923>" 
"5";"<U+0001F3A5> José Luis Bueno, diputado de Izquierda Unida en el Congreso, ha subido este martes a la tribuna de oradores del hemiciclo luciendo una camiseta con la imagen del sello conmemorativo del centenario del Partido Comunista de España emitido por Correos  https://t.co/ejAUY9Pubb https://t.co/ijKZg1pTZy" 
"6";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/uHL6d8sjno" 
"7";"@AnittaRuiz No está paralizada la venta del sello. Ya se comercializa. Es tan legal como el partido comunista. https://t.co/pGVR5GHL3N" 
"8";"@Correos Buenas. Podré comprar los sellos del centenario del partido comunista en Valladolid?. En la oficina central?" 
"9";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/4BtUBsnpWH" 
"10";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/aJwyo1Tzuo" 
"11";"@latouche_sergei @elpce @buenopin @Correos Jordi Solé Turá, uno de los ""padres"" de la actual Constitución era un jurista y diputado comunista. El PCE apoyó el Sí en el referéndum del 6 de Diciembre de 1978, mientras que Alianza Popular (Partido Popular años después) apoyó el NO." 
"12";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/QXjabAp39p" 
"13";"@EugenioDelafue5 @manriquerobledo @vitoquiles @Correos @PSOE O sea eres COMUNISTA, un facha rojo más. Uds los COMUNISTAS son lo mismo que los fachas, solo que uds están hechos con mal gusto y suelen ser perros flautas resentidos de la sociedad. Llorarán uds después de las generales! <U+0001F602><U+0001F602><U+0001F602>" 
"14";"Sempre cercaré una alternativa a correus.  He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo.  Firma aquí: https://t.co/Bg4f3ObOwm" 
"15";"Abogados cristianos le a hecho propaganda al sello del partido comunista, agotado en correos. https://t.co/Hn2cDZ1qNz" 
"16";"Hoy un diputado de Podemos ha subido a la tribuna del Congreso con una camiseta con el sello de Correos en homenaje al Partido Comunista y cuya distribución está actualmente paralizada por orden judicial. Pero no es la primera camiseta que ""habla"" en el hemiciclo. #LaRopaHabla https://t.co/QsORdiuml3" 
"17";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/RQmGrjbIjj" 
"18";"Si no quieres recibir un sobre con la hoz y el martillo #comunista esta Navidad. firma y difunde <U+0001F447>https://t.co/A8MtFgK0tY https://t.co/xziWLrKLR4" 
"19";"Todo esto sucede en un país donde una empresa pública, Correos, dirigida por un amiguete de Sánchez colocado allí por dedazo presidencial, ha tenido la insólita idea de emitir un sello para ensalzar al Partido Comunista de España." 
"20";"@elpce @Correos @buenopin El comunismo por resolución de la Unión Europea en el año 2019 organización criminal más de cien millones de muertos solo para robarle el dinero a los demás a esta putin en Cuba otro asesino comunista" 
"21";"@publico_es Y por qué no sancionan también a correos por el sello comunista? Ojo, que me parecen mal las dos, pero solo una se sanciona" 
"22";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/teLt8am23e" 
"23";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/0tXgrdtl4T" 
"24";"@ArnaldoOtegi @PabloIglesias @inafinogenova @LaBasePublico Y tanto, Arnaldo! Tú y los tuyos también sabéis mucho de recaudar utilizando solo la palabra y un sobre de correos, aquel que te decía ""o pagas o bomba lapa.  (Ahora ya podríais con sello comunista y todo!)" 
"25";"@Correos ha puesto a la venta el sello pro #comunista. La juez que lo suspendió de forma cautelar ha dado marcha atrás. Si no quieres recibir sobres con la hoz y el martillo con las tarjetas de ‘Feliz Navidad’ firma aquí <U+0001F447>https://t.co/A8MtFgK0tY" 
"26";"He firmado una petición dirigida al presidente de @Correos de España para que retire el sello que exalta el comunismo, una ideología asesina que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/qsbGX3TO1e" 
"27";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/Jh369PIBeb" 
"28";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/qUafzNFBN6" 
"29";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/BN0AVqQEW8" 
"30";"@publico_es A Chamberí le encantaría pintorrojear con colorines o una buena tomatina todas las sedes de CORREOS contra tras la salida del sello dedicado al Partido Comunista de España, responsable del asesinato de miles de españoles durante la II República. https://t.co/FMSwO3walD" 
"31";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/HIUVlHQE18" 
"32";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/1L3pMcVSm5" 
"33";"Compra el sello del centenario del PCE, Partido Comunista de España 1921-2021 (pack de 5) | Correos Market | Correos Market https://t.co/nEr4wcPzrd a través de @Correos" 
"34";"@Fben_Fben @InesArrimadas @begonavillacis @BalEdmundo @CiudadanosCs Correos no está vendiendo el sello, lo tienen en las oficinas con orden de no venderlo. Siguen los litigios.. No lo tienes y el que diga que si miente. Lo típico de la miseria comunista.  <U+0001F447><U+0001F3FB><U+0001F447><U+0001F3FB><U+0001F447><U+0001F3FB> https://t.co/a8dRZ2XAvi" 
"35";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/ddkLxLAxJQ" 
"36";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/8SqrGLxTqC" 
"37";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/Joc8UVEuVf" 
"38";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/YnOrF99gdQ" 
"39";"He firmado una petición dirigida al presidente de @Correos para que retire el sello que exalta el comunismo, una ideología asesina y radical que ha ocasionado 120 millones de muertes en todo el mundo. Firma aquí: https://t.co/B8p3vai3CB" 
